CIRC;CANTON;BUREAU;INSCRITS;VOTANTS;%;NULS;%;EXPRIMES;%;ABSTENTIONS;%;Lutte Ouvrière;%;Toulouse Autrement;%;Toulouse Pour Tous, osons aller plus loin ensemble;%;Toulouse Rassemblée;%;Debout ! Ensemble, la gauche qui ne renonce pas;%;100% Pour Toulouse;%;L'autre Liste;%;Pour la renationalisation d'Airbus, pour la laïcité, contre les directives de l'union européenne;%
3;9;135;1024;641;98.75;8;98.75;633;98.75;383;98.75;4;98.75;49;98.75;333;98.75;200;98.75;18;98.75;6;98.75;22;98.75;1;98.75
4;2;22;1027;591;99.32;4;99.32;587;99.32;436;99.32;2;99.32;42;99.32;291;99.32;197;99.32;22;99.32;4;99.32;28;99.32;1;99.32
6;12;196;1261;788;97.84;17;97.84;771;97.84;473;97.84;6;97.84;44;97.84;331;97.84;306;97.84;39;97.84;10;97.84;32;97.84;3;97.84
1;7;107;1193;673;97.92;14;97.92;659;97.92;520;97.92;6;97.92;47;97.92;268;97.92;279;97.92;29;97.92;3;97.92;22;97.92;5;97.92
1;7;109;1039;626;98.08;12;98.08;614;98.08;413;98.08;4;98.08;30;98.08;302;98.08;217;98.08;30;98.08;0;98.08;25;98.08;6;98.08
3;9;134A;1102;621;97.42;16;97.42;605;97.42;481;97.42;3;97.42;29;97.42;252;97.42;261;97.42;28;97.42;8;97.42;24;97.42;0;97.42
3;9;148;905;521;98.85;6;98.85;515;98.85;384;98.85;5;98.85;21;98.85;200;98.85;222;98.85;24;98.85;4;98.85;38;98.85;1;98.85
3;10;164;1166;545;98.9;6;98.9;539;98.9;621;98.9;3;98.9;19;98.9;193;98.9;267;98.9;26;98.9;4;98.9;26;98.9;1;98.9
4;3;34;916;540;99.63;2;99.63;538;99.63;376;99.63;4;99.63;29;99.63;196;99.63;224;99.63;23;99.63;11;99.63;48;99.63;3;99.63
4;3;42;1070;621;97.91;13;97.91;608;97.91;449;97.91;4;97.91;40;97.91;250;97.91;249;97.91;34;97.91;0;97.91;31;97.91;0;97.91
1;5;81;1286;644;99.07;6;99.07;638;99.07;642;99.07;5;99.07;32;99.07;214;99.07;266;99.07;61;99.07;4;99.07;54;99.07;2;99.07
1;7;111;1001;561;97.86;12;97.86;549;97.86;440;97.86;2;97.86;28;97.86;260;97.86;196;97.86;32;97.86;8;97.86;23;97.86;0;97.86
2;8;130;1144;645;97.67;15;97.67;630;97.67;499;97.67;7;97.67;28;97.67;259;97.67;276;97.67;19;97.67;12;97.67;25;97.67;4;97.67
2;15;224;1216;712;97.33;19;97.33;693;97.33;504;97.33;5;97.33;37;97.33;299;97.33;294;97.33;26;97.33;5;97.33;25;97.33;2;97.33
3;9;144;953;537;97.58;13;97.58;524;97.58;416;97.58;6;97.58;25;97.58;275;97.58;173;97.58;17;97.58;3;97.58;25;97.58;0;97.58
4;2;30;952;564;98.58;8;98.58;556;98.58;388;98.58;1;98.58;44;98.58;324;98.58;131;98.58;21;98.58;4;98.58;30;98.58;1;98.58
6;12;198A;1067;616;98.86;7;98.86;609;98.86;451;98.86;3;98.86;34;98.86;287;98.86;223;98.86;27;98.86;2;98.86;30;98.86;3;98.86
1;1;14;1138;737;98.78;9;98.78;728;98.78;401;98.78;3;98.78;56;98.78;325;98.78;255;98.78;41;98.78;4;98.78;42;98.78;2;98.78
1;5;75;897;499;96.99;15;96.99;484;96.99;398;96.99;4;96.99;23;96.99;148;96.99;210;96.99;45;96.99;3;96.99;49;96.99;2;96.99
1;5;82;1022;573;98.78;7;98.78;566;98.78;449;98.78;3;98.78;37;98.78;251;98.78;191;98.78;43;98.78;5;98.78;33;98.78;3;98.78
1;7;104;955;592;97.97;12;97.97;580;97.97;363;97.97;8;97.97;31;97.97;273;97.97;204;97.97;27;97.97;2;97.97;33;97.97;2;97.97
1;7;108;973;608;97.7;14;97.7;594;97.7;365;97.7;3;97.7;28;97.7;323;97.7;192;97.7;20;97.7;3;97.7;24;97.7;1;97.7
1;7;108A;956;578;98.44;9;98.44;569;98.44;378;98.44;3;98.44;28;98.44;223;98.44;250;98.44;30;98.44;3;98.44;28;98.44;4;98.44
2;6;93;1179;647;97.06;19;97.06;628;97.06;532;97.06;3;97.06;49;97.06;241;97.06;250;97.06;37;97.06;2;97.06;42;97.06;4;97.06
2;8;126;920;576;97.4;15;97.4;561;97.4;344;97.4;3;97.4;35;97.4;272;97.4;207;97.4;23;97.4;6;97.4;15;97.4;0;97.4
2;15;214;1360;810;97.53;20;97.53;790;97.53;550;97.53;5;97.53;43;97.53;333;97.53;330;97.53;35;97.53;13;97.53;27;97.53;4;97.53
3;9;136;770;498;98.59;7;98.59;491;98.59;272;98.59;2;98.59;34;98.59;252;98.59;161;98.59;14;98.59;5;98.59;21;98.59;2;98.59
3;9;145;1029;647;97.84;14;97.84;633;97.84;382;97.84;14;97.84;24;97.84;231;97.84;287;97.84;38;97.84;6;97.84;29;97.84;4;97.84
4;2;25;1032;534;97.0;16;97.0;518;97.0;498;97.0;1;97.0;40;97.0;198;97.0;209;97.0;28;97.0;3;97.0;38;97.0;1;97.0
4;3;37;883;506;98.81;6;98.81;500;98.81;377;98.81;3;98.81;31;98.81;193;98.81;185;98.81;34;98.81;6;98.81;47;98.81;1;98.81
4;11;176;755;281;95.73;12;95.73;269;95.73;474;95.73;2;95.73;9;95.73;64;95.73;147;95.73;18;95.73;17;95.73;10;95.73;2;95.73
1;1;17;954;573;99.3;4;99.3;569;99.3;381;99.3;6;99.3;31;99.3;259;99.3;215;99.3;24;99.3;3;99.3;27;99.3;4;99.3
1;4;58;1084;550;98.18;10;98.18;540;98.18;534;98.18;1;98.18;38;98.18;199;98.18;229;98.18;35;98.18;2;98.18;34;98.18;2;98.18
2;6;94;1005;603;98.34;10;98.34;593;98.34;402;98.34;4;98.34;37;98.34;195;98.34;246;98.34;49;98.34;8;98.34;53;98.34;1;98.34
2;15;213;1232;678;96.02;27;96.02;651;96.02;554;96.02;8;96.02;36;96.02;291;96.02;244;96.02;29;96.02;11;96.02;32;96.02;0;96.02
4;11;179;690;413;97.58;10;97.58;403;97.58;277;97.58;11;97.58;28;97.58;166;97.58;153;97.58;24;97.58;1;97.58;20;97.58;0;97.58
1;1;12;1069;614;98.05;12;98.05;602;98.05;455;98.05;1;98.05;52;98.05;310;98.05;180;98.05;27;98.05;4;98.05;27;98.05;1;98.05
1;7;112;879;508;97.44;13;97.44;495;97.44;371;97.44;5;97.44;14;97.44;204;97.44;225;97.44;26;97.44;7;97.44;14;97.44;0;97.44
2;15;215;1069;464;94.83;24;94.83;440;94.83;605;94.83;4;94.83;24;94.83;144;94.83;205;94.83;26;94.83;11;94.83;25;94.83;1;94.83
3;9;141;945;582;97.77;13;97.77;569;97.77;363;97.77;8;97.77;36;97.77;276;97.77;208;97.77;12;97.77;3;97.77;26;97.77;0;97.77
3;10;160;1031;617;98.87;7;98.87;610;98.87;414;98.87;4;98.87;42;98.87;267;98.87;234;98.87;27;98.87;5;98.87;31;98.87;0;98.87
4;11;174A;1077;536;96.64;18;96.64;518;96.64;541;96.64;8;96.64;30;96.64;225;96.64;200;96.64;27;96.64;13;96.64;13;96.64;2;96.64
4;11;182;824;515;97.67;12;97.67;503;97.67;309;97.67;4;97.67;28;97.67;231;97.67;169;97.67;25;97.67;7;97.67;35;97.67;4;97.67
1;4;59;1054;657;98.63;9;98.63;648;98.63;397;98.63;4;98.63;42;98.63;251;98.63;277;98.63;35;98.63;2;98.63;37;98.63;0;98.63
1;7;103;859;483;98.55;7;98.55;476;98.55;376;98.55;6;98.55;26;98.55;180;98.55;209;98.55;22;98.55;8;98.55;24;98.55;1;98.55
2;6;91;1052;547;96.89;17;96.89;530;96.89;505;96.89;8;96.89;19;96.89;216;96.89;209;96.89;29;96.89;15;96.89;31;96.89;3;96.89
2;8;121;1158;693;98.56;10;98.56;683;98.56;465;98.56;2;98.56;33;98.56;346;98.56;247;98.56;19;98.56;4;98.56;29;98.56;3;98.56
3;9;142;888;462;98.27;8;98.27;454;98.27;426;98.27;1;98.27;31;98.27;251;98.27;121;98.27;11;98.27;11;98.27;25;98.27;3;98.27
4;3;45;948;467;98.72;6;98.72;461;98.72;481;98.72;5;98.72;13;98.72;190;98.72;187;98.72;29;98.72;5;98.72;30;98.72;2;98.72
6;12;200;1211;669;96.41;24;96.41;645;96.41;542;96.41;6;96.41;49;96.41;333;96.41;198;96.41;25;96.41;2;96.41;30;96.41;2;96.41
6;12;200A;1141;632;98.73;8;98.73;624;98.73;509;98.73;3;98.73;48;98.73;317;98.73;198;98.73;21;98.73;3;98.73;31;98.73;3;98.73
1;5;74;684;385;98.18;7;98.18;378;98.18;299;98.18;1;98.18;30;98.18;219;98.18;86;98.18;11;98.18;4;98.18;26;98.18;1;98.18
1;5;79;857;520;99.04;5;99.04;515;99.04;337;99.04;0;99.04;38;99.04;193;99.04;210;99.04;34;99.04;2;99.04;38;99.04;0;99.04
2;15;218;1079;642;96.73;21;96.73;621;96.73;437;96.73;6;96.73;21;96.73;308;96.73;227;96.73;29;96.73;2;96.73;26;96.73;2;96.73
3;9;133;933;533;98.5;8;98.5;525;98.5;400;98.5;5;98.5;35;98.5;229;98.5;216;98.5;18;98.5;2;98.5;17;98.5;3;98.5
4;2;28;1076;614;97.72;14;97.72;600;97.72;462;97.72;2;97.72;36;97.72;299;97.72;175;97.72;41;97.72;3;97.72;41;97.72;3;97.72
4;3;036A;1056;597;98.32;10;98.32;587;98.32;459;98.32;4;98.32;28;98.32;181;98.32;262;98.32;46;98.32;4;98.32;61;98.32;1;98.32
4;11;170;977;523;97.13;15;97.13;508;97.13;454;97.13;8;97.13;26;97.13;203;97.13;210;97.13;29;97.13;5;97.13;25;97.13;2;97.13
4;11;171;955;452;97.57;11;97.57;441;97.57;503;97.57;5;97.57;16;97.57;169;97.57;196;97.57;13;97.57;7;97.57;30;97.57;5;97.57
6;12;184;893;393;98.47;6;98.47;387;98.47;500;98.47;3;98.47;17;98.47;130;98.47;185;98.47;20;98.47;8;98.47;23;98.47;1;98.47
6;12;188;745;407;98.03;8;98.03;399;98.03;338;98.03;6;98.03;22;98.03;146;98.03;188;98.03;21;98.03;1;98.03;15;98.03;0;98.03
1;1;8;879;506;99.21;4;99.21;502;99.21;373;99.21;4;99.21;40;99.21;183;99.21;208;99.21;24;99.21;3;99.21;39;99.21;1;99.21
1;5;72;1210;629;97.77;14;97.77;615;97.77;581;97.77;2;97.77;37;97.77;244;97.77;247;97.77;33;97.77;2;97.77;50;97.77;0;97.77
2;8;125;945;602;98.67;8;98.67;594;98.67;343;98.67;2;98.67;42;98.67;316;98.67;174;98.67;19;98.67;3;98.67;38;98.67;0;98.67
2;15;219;1091;620;96.94;19;96.94;601;96.94;471;96.94;5;96.94;43;96.94;247;96.94;242;96.94;30;96.94;6;96.94;27;96.94;1;96.94
3;9;143;997;573;96.68;19;96.68;554;96.68;424;96.68;6;96.68;42;96.68;294;96.68;162;96.68;20;96.68;4;96.68;25;96.68;1;96.68
4;3;35;1047;615;98.21;11;98.21;604;98.21;432;98.21;2;98.21;31;98.21;170;98.21;272;98.21;56;98.21;2;98.21;69;98.21;2;98.21
4;3;40;1161;593;97.81;13;97.81;580;97.81;568;97.81;8;97.81;39;97.81;219;97.81;240;97.81;36;97.81;8;97.81;30;97.81;0;97.81
4;3;52;1021;539;97.4;14;97.4;525;97.4;482;97.4;5;97.4;37;97.4;207;97.4;211;97.4;31;97.4;2;97.4;29;97.4;3;97.4
4;11;180;700;316;96.84;10;96.84;306;96.84;384;96.84;3;96.84;15;96.84;118;96.84;116;96.84;25;96.84;7;96.84;21;96.84;1;96.84
5;14;210;1044;530;97.17;15;97.17;515;97.17;514;97.17;5;97.17;31;97.17;245;97.17;192;97.17;17;97.17;2;97.17;21;97.17;2;97.17
5;14;212;361;193;98.45;3;98.45;190;98.45;168;98.45;0;98.45;3;98.45;97;98.45;75;98.45;9;98.45;2;98.45;3;98.45;1;98.45
1;1;5;757;453;98.23;8;98.23;445;98.23;304;98.23;3;98.23;41;98.23;233;98.23;134;98.23;13;98.23;5;98.23;16;98.23;0;98.23
1;4;57;632;396;100.0;0;100.0;396;100.0;236;100.0;0;100.0;28;100.0;176;100.0;138;100.0;34;100.0;1;100.0;14;100.0;5;100.0
1;4;68;956;587;97.1;17;97.1;570;97.1;369;97.1;5;97.1;38;97.1;270;97.1;207;97.1;29;97.1;4;97.1;16;97.1;1;97.1
2;6;92;1122;623;96.79;20;96.79;603;96.79;499;96.79;2;96.79;41;96.79;266;96.79;223;96.79;36;96.79;7;96.79;25;96.79;3;96.79
2;8;128;1155;648;97.07;19;97.07;629;97.07;507;97.07;11;97.07;42;97.07;239;97.07;256;97.07;35;97.07;8;97.07;36;97.07;2;97.07
4;2;26;947;560;97.32;15;97.32;545;97.32;387;97.32;3;97.32;33;97.32;252;97.32;174;97.32;33;97.32;6;97.32;42;97.32;2;97.32
4;2;31;974;560;98.04;11;98.04;549;98.04;414;98.04;1;98.04;34;98.04;353;98.04;114;98.04;20;98.04;3;98.04;24;98.04;0;98.04
5;13;205;1059;669;97.61;16;97.61;653;97.61;390;97.61;5;97.61;38;97.61;250;97.61;299;97.61;19;97.61;5;97.61;35;97.61;2;97.61
6;12;191A;896;392;97.96;8;97.96;384;97.96;504;97.96;5;97.96;29;97.96;138;97.96;165;97.96;25;97.96;5;97.96;15;97.96;2;97.96
6;12;201;963;583;98.28;10;98.28;573;98.28;380;98.28;3;98.28;39;98.28;281;98.28;189;98.28;24;98.28;3;98.28;33;98.28;1;98.28
6;12;201B;871;489;98.98;5;98.98;484;98.98;382;98.98;3;98.98;15;98.98;247;98.98;180;98.98;17;98.98;2;98.98;18;98.98;2;98.98
