BV;LE RASSEMBLEMENT CITOYEN;L'ALTERNATIVE RESPONSABLE;TOULOUSE EN MARCHE !;JEAN-LUC MOUDENC UN NOUVEL ELAN POUR TOULOUSE;LUTTE OUVRIERE FAIRE ENTENDRE LE CAMP DES TRAVAILLEURS;A TOULOUSE, PLACE AU PEUPLE - FRONT DE GAUCHE;"""AIMER TOULOUSE""";TOULOUSE VERT DEMAIN EUROPE ECOLOGIE LES VERTS PARTI PIRATE MIDI-PYRENEES;AVEC VOUS, TOULOUSE AVANCE !;TOULOUSE BLEU MARINE;CIRC.;CANTON;INSCRITS;VOTANTS;NULS;EXPRIMES;ABSTENTIONS
00094;28.0;12.0;12.0;163.0;0.0;60.0;24.0;66.0;233.0;32.0;2.0;6.0;1110.0;641.0;11.0;630.0;469.0
00107;5.0;8.0;3.0;300.0;4.0;24.0;9.0;26.0;141.0;53.0;2.0;7.0;1019.0;581.0;8.0;573.0;438.0
00110;12.0;3.0;3.0;234.0;5.0;22.0;7.0;30.0;136.0;37.0;2.0;7.0;918.0;502.0;13.0;489.0;416.0
0134A;14.0;14.0;11.0;317.0;5.0;34.0;13.0;43.0;217.0;55.0;3.0;9.0;1406.0;745.0;22.0;723.0;661.0
00146;10.0;12.0;17.0;164.0;2.0;21.0;10.0;30.0;143.0;28.0;7.0;9.0;833.0;440.0;3.0;437.0;393.0
00186;5.0;6.0;32.0;98.0;4.0;16.0;2.0;5.0;118.0;18.0;4.0;12.0;1299.0;322.0;18.0;304.0;977.0
0195A;6.0;9.0;12.0;169.0;5.0;25.0;7.0;28.0;134.0;66.0;4.0;12.0;1090.0;474.0;13.0;461.0;616.0
00016;16.0;9.0;12.0;232.0;2.0;18.0;15.0;34.0;182.0;28.0;4.0;1.0;947.0;558.0;10.0;548.0;389.0
0039A;19.0;16.0;14.0;143.0;7.0;35.0;12.0;55.0;169.0;27.0;4.0;3.0;938.0;525.0;28.0;497.0;413.0
00085;8.0;13.0;5.0;167.0;2.0;26.0;7.0;41.0;152.0;18.0;1.0;5.0;994.0;452.0;13.0;439.0;542.0
00087;16.0;6.0;10.0;188.0;3.0;54.0;28.0;43.0;205.0;59.0;2.0;6.0;1204.0;619.0;8.0;612.0;585.0
0093B;16.0;15.0;2.0;244.0;4.0;31.0;21.0;42.0;188.0;77.0;2.0;6.0;1235.0;656.0;16.0;640.0;579.0
00101;17.0;19.0;13.0;169.0;8.0;49.0;24.0;62.0;219.0;37.0;2.0;7.0;1126.0;627.0;10.0;617.0;499.0
00104;18.0;21.0;4.0;220.0;2.0;29.0;16.0;44.0;180.0;54.0;2.0;7.0;1042.0;609.0;21.0;588.0;433.0
00112;14.0;4.0;6.0;150.0;1.0;16.0;11.0;18.0;142.0;57.0;2.0;7.0;841.0;429.0;10.0;419.0;412.0
00148;9.0;7.0;7.0;141.0;10.0;22.0;8.0;38.0;132.0;30.0;7.0;9.0;830.0;418.0;14.0;404.0;412.0
00207;15.0;13.0;9.0;200.0;5.0;27.0;18.0;54.0;187.0;56.0;1.0;14.0;1141.0;602.0;18.0;584.0;539.0
00210;7.0;9.0;10.0;214.0;2.0;37.0;19.0;19.0;166.0;98.0;1.0;14.0;1252.0;597.0;16.0;581.0;655.0
00010;14.0;16.0;4.0;206.0;2.0;12.0;7.0;39.0;181.0;27.0;4.0;1.0;979.0;521.0;13.0;508.0;458.0
00077;20.0;13.0;8.0;204.0;0.0;28.0;6.0;40.0;188.0;28.0;1.0;5.0;976.0;544.0;9.0;535.0;432.0
00091;12.0;5.0;14.0;168.0;3.0;26.0;21.0;43.0;184.0;32.0;2.0;6.0;1000.0;523.0;15.0;508.0;477.0
00132;13.0;12.0;3.0;250.0;1.0;22.0;7.0;27.0;150.0;63.0;3.0;9.0;1073.0;553.0;5.0;548.0;520.0
00189;5.0;5.0;12.0;97.0;6.0;18.0;11.0;12.0;119.0;18.0;4.0;12.0;832.0;311.0;8.0;303.0;521.0
0193A;5.0;4.0;23.0;132.0;3.0;16.0;9.0;17.0;90.0;52.0;4.0;12.0;795.0;360.0;9.0;351.0;435.0
00209;17.0;6.0;7.0;175.0;3.0;18.0;7.0;22.0;170.0;60.0;1.0;14.0;1102.0;507.0;22.0;485.0;595.0
00212;3.0;5.0;3.0;74.0;2.0;7.0;2.0;5.0;49.0;33.0;1.0;14.0;442.0;187.0;4.0;183.0;255.0
00004;5.0;36.0;4.0;318.0;2.0;12.0;8.0;22.0;110.0;44.0;4.0;1.0;956.0;571.0;10.0;561.0;385.0
00019;19.0;21.0;7.0;292.0;3.0;25.0;21.0;32.0;174.0;37.0;3.0;2.0;1084.0;637.0;8.0;631.0;447.0
00030;7.0;21.0;4.0;295.0;5.0;21.0;5.0;37.0;123.0;29.0;3.0;2.0;992.0;554.0;7.0;547.0;438.0
00056;9.0;17.0;9.0;180.0;2.0;20.0;6.0;45.0;165.0;26.0;1.0;4.0;1025.0;487.0;8.0;479.0;538.0
00084;11.0;20.0;12.0;248.0;1.0;28.0;4.0;61.0;222.0;28.0;1.0;5.0;1173.0;642.0;7.0;635.0;531.0
0093A;20.0;9.0;15.0;214.0;5.0;33.0;15.0;52.0;235.0;49.0;2.0;6.0;1276.0;661.0;14.0;647.0;615.0
00144;17.0;17.0;4.0;287.0;7.0;21.0;11.0;31.0;158.0;45.0;3.0;9.0;991.0;611.0;13.0;598.0;380.0
00022;14.0;24.0;3.0;284.0;1.0;16.0;12.0;44.0;163.0;28.0;3.0;2.0;1086.0;605.0;16.0;589.0;481.0
00025;21.0;14.0;14.0;150.0;1.0;39.0;8.0;58.0;200.0;35.0;3.0;2.0;1083.0;547.0;7.0;540.0;536.0
00073;23.0;25.0;8.0;167.0;1.0;23.0;7.0;53.0;185.0;26.0;1.0;5.0;1069.0;531.0;13.0;518.0;538.0
00099;11.0;7.0;8.0;139.0;8.0;29.0;28.0;26.0;188.0;31.0;2.0;6.0;933.0;486.0;11.0;475.0;447.0
00103;7.0;7.0;1.0;144.0;5.0;30.0;23.0;37.0;152.0;35.0;2.0;7.0;871.0;459.0;18.0;441.0;412.0
00140;9.0;11.0;4.0;290.0;3.0;25.0;12.0;35.0;125.0;36.0;3.0;9.0;935.0;559.0;9.0;550.0;376.0
00150;25.0;11.0;7.0;153.0;8.0;29.0;9.0;47.0;232.0;47.0;7.0;10.0;1022.0;574.0;6.0;568.0;448.0
00168;6.0;10.0;16.0;144.0;3.0;35.0;9.0;23.0;142.0;59.0;7.0;11.0;934.0;464.0;17.0;447.0;470.0
0022A;15.0;22.0;6.0;239.0;6.0;33.0;11.0;50.0;158.0;31.0;3.0;2.0;1047.0;587.0;16.0;571.0;460.0
00052;13.0;12.0;12.0;176.0;3.0;19.0;19.0;34.0;179.0;60.0;4.0;3.0;1066.0;539.0;12.0;527.0;527.0
00066;11.0;16.0;9.0;179.0;1.0;17.0;8.0;32.0;165.0;20.0;1.0;4.0;862.0;474.0;16.0;458.0;388.0
00096;9.0;11.0;7.0;160.0;3.0;54.0;20.0;45.0;167.0;49.0;2.0;6.0;978.0;542.0;17.0;525.0;436.0
00118;14.0;12.0;8.0;307.0;1.0;23.0;5.0;45.0;174.0;30.0;3.0;8.0;1142.0;631.0;12.0;619.0;511.0
00139;12.0;8.0;5.0;234.0;4.0;16.0;14.0;32.0;150.0;43.0;3.0;9.0;965.0;529.0;11.0;518.0;436.0
00141;13.0;17.0;2.0;272.0;8.0;18.0;15.0;35.0;151.0;30.0;3.0;9.0;957.0;569.0;8.0;561.0;388.0
00164;17.0;13.0;12.0;135.0;3.0;31.0;11.0;33.0;191.0;29.0;7.0;10.0;1183.0;491.0;16.0;475.0;692.0
00181;3.0;8.0;21.0;130.0;4.0;18.0;5.0;14.0;122.0;33.0;7.0;11.0;931.0;370.0;12.0;358.0;561.0
0211A;15.0;13.0;6.0;208.0;7.0;35.0;13.0;34.0;187.0;77.0;1.0;14.0;1286.0;623.0;28.0;595.0;663.0
00002;12.0;13.0;3.0;201.0;1.0;27.0;12.0;41.0;159.0;24.0;4.0;1.0;931.0;505.0;12.0;493.0;426.0
00009;19.0;23.0;8.0;202.0;2.0;35.0;5.0;38.0;164.0;29.0;4.0;1.0;941.0;528.0;3.0;525.0;413.0
00040;11.0;21.0;13.0;206.0;0.0;17.0;12.0;37.0;226.0;41.0;4.0;3.0;1276.0;595.0;11.0;584.0;681.0
00059;10.0;14.0;9.0;199.0;4.0;28.0;11.0;52.0;206.0;38.0;1.0;4.0;1038.0;581.0;10.0;571.0;457.0
00088;20.0;6.0;5.0;194.0;5.0;26.0;28.0;44.0;201.0;55.0;2.0;6.0;1122.0;596.0;12.0;584.0;526.0
