Numéro;Type election;Annee;Type enregistrement;Numéro tour;Code departement;Code commune;Numéro bdv;Indicatif;Inscrits;Abstentions;Votants;Votants emargement;Blancs;Nuls;Exprimes;Nombre de listes;Toulouse anticapitaliste;Nombre de voix de la liste : Toulouse anticapitaliste;Archipel Citoyen;Nombre de voix de la liste : Archipel Citoyen;Aimer Toulouse avec Jean-Luc Moudenc;Nombre de voix de la liste : Aimer Toulouse avec Jean-Luc Moudenc;En avant Toulouse;Nombre de voix de la liste : En avant Toulouse;Pour la cohésion ! L’autre choix;Nombre de voix de la liste : Pour la cohésion ! L’autre choix;Rassemblement Toulousain;Nombre de voix de la liste : Rassemblement Toulousain;Une nouvelle énergie pour Toulouse. La gauche, l’écologie, les toulousain.e.s;Nombre de voix de la liste : Une nouvelle énergie pour Toulouse. La gauche, l’écologie, les toulousain.e.s;Debout Toulouse;Nombre de voix de la liste : Debout Toulouse;Toulouse animaliste;Nombre de voix de la liste : Toulouse animaliste;Toulouse belle et forte;Nombre de voix de la liste : Toulouse belle et forte;Lutte ouvrière – Faire entendre le camp des travailleurs;Nombre de voix de la liste : Lutte ouvrière – Faire entendre le camp des travailleurs;Toulouse aux travailleurs, pas aux spéculateurs;Nombre de voix de la liste : Toulouse aux travailleurs, pas aux spéculateurs
245;MN;2020;V;1;31;555;238;I;1033;637;396;397;3;5;388;12;2;7;7;88;10;158;13;2;9;19;6;26;3;71;11;6;8;6;5;4;4;1;12;0
246;MN;2020;V;1;31;555;239;I;1128;789;339;339;2;1;336;12;2;4;7;74;10;151;13;3;9;20;6;18;3;51;11;3;8;4;5;6;4;0;12;2
256;MN;2020;V;1;31;555;249;I;923;563;360;360;6;2;352;12;2;6;7;88;10;134;13;0;9;24;6;21;3;51;11;4;8;11;5;9;4;1;12;3
257;MN;2020;V;1;31;555;250;I;869;526;343;341;2;3;338;12;2;3;7;74;10;147;13;0;9;16;6;13;3;59;11;1;8;8;5;12;4;4;12;1
113;MN;2020;V;1;31;555;110;I;1073;792;281;281;2;3;276;12;2;6;7;48;10;100;13;0;9;20;6;16;3;69;11;1;8;8;5;7;4;1;12;0
114;MN;2020;V;1;31;555;111;I;754;489;265;265;3;3;259;12;2;2;7;60;10;97;13;0;9;16;6;10;3;53;11;8;8;2;5;10;4;1;12;0
122;MN;2020;V;1;31;555;118;I;1061;624;437;437;0;3;434;12;2;3;7;175;10;115;13;0;9;20;6;18;3;74;11;6;8;10;5;9;4;1;12;3
126;MN;2020;V;1;31;555;122;I;1076;651;425;425;3;5;417;12;2;6;7;138;10;130;13;1;9;20;6;18;3;81;11;0;8;4;5;15;4;4;12;0
127;MN;2020;V;1;31;555;123;I;1047;711;336;335;1;3;332;12;2;4;7;109;10;105;13;0;9;26;6;18;3;50;11;3;8;8;5;9;4;0;12;0
128;MN;2020;V;1;31;555;124;I;915;628;287;287;4;2;281;12;2;10;7;89;10;63;13;0;9;28;6;14;3;56;11;1;8;5;5;8;4;2;12;5
131;MN;2020;V;1;31;555;127;I;891;542;349;349;4;6;339;12;2;8;7;123;10;64;13;3;9;29;6;23;3;63;11;2;8;8;5;10;4;4;12;2
145;MN;2020;V;1;31;555;141;I;825;462;363;363;3;2;358;12;2;15;7;142;10;83;13;1;9;18;6;9;3;75;11;4;8;3;5;7;4;0;12;1
148;MN;2020;V;1;31;555;144;I;852;527;325;325;1;2;322;12;2;8;7;68;10;138;13;0;9;12;6;14;3;56;11;2;8;8;5;15;4;1;12;0
152;MN;2020;V;1;31;555;148;I;869;610;259;259;1;4;254;12;2;2;7;54;10;94;13;0;9;22;6;22;3;39;11;3;8;2;5;16;4;0;12;0
156;MN;2020;V;1;31;555;152;I;668;400;268;268;0;0;268;12;2;2;7;66;10;101;13;1;9;10;6;13;3;53;11;1;8;6;5;11;4;1;12;3
162;MN;2020;V;1;31;555;158;I;1030;702;328;328;2;1;325;12;2;5;7;94;10;111;13;2;9;19;6;9;3;69;11;5;8;2;5;8;4;1;12;0
164;MN;2020;V;1;31;555;160;I;1004;570;434;434;2;7;425;12;2;1;7;130;10;142;13;0;9;25;6;11;3;91;11;4;8;6;5;12;4;3;12;0
165;MN;2020;V;1;31;555;161;I;737;463;274;274;1;3;270;12;2;3;7;76;10;83;13;0;9;11;6;5;3;72;11;2;8;9;5;6;4;2;12;1
170;MN;2020;V;1;31;555;166;I;1146;675;471;471;4;4;463;12;2;5;7;128;10;176;13;1;9;34;6;17;3;81;11;1;8;8;5;12;4;0;12;0
172;MN;2020;V;1;31;555;168;I;889;525;364;364;2;5;357;12;2;5;7;107;10;127;13;0;9;19;6;11;3;69;11;3;8;2;5;13;4;1;12;0
191;MN;2020;V;1;31;555;186;I;1088;707;381;381;3;2;376;12;2;10;7;80;10;126;13;1;9;25;6;21;3;80;11;5;8;10;5;14;4;4;12;0
199;MN;2020;V;1;31;555;193;I;1069;784;285;285;2;2;281;12;2;2;7;58;10;98;13;1;9;17;6;29;3;48;11;3;8;7;5;13;4;5;12;0
6;MN;2020;V;1;31;555;6;I;853;486;367;367;0;0;367;12;2;5;7;147;10;114;13;0;9;15;6;8;3;64;11;0;8;6;5;8;4;0;12;0
16;MN;2020;V;1;31;555;16;I;1157;668;489;489;5;5;479;12;2;7;7;149;10;196;13;0;9;15;6;8;3;76;11;2;8;13;5;10;4;0;12;3
20;MN;2020;V;1;31;555;20;I;1027;621;406;406;2;10;394;12;2;8;7;145;10;100;13;0;9;19;6;20;3;84;11;5;8;6;5;3;4;3;12;1
29;MN;2020;V;1;31;555;29;I;1067;651;416;416;4;4;408;12;2;8;7;139;10;113;13;0;9;34;6;17;3;77;11;3;8;8;5;5;4;4;12;0
30;MN;2020;V;1;31;555;30;I;963;572;391;391;3;7;381;12;2;9;7;124;10;117;13;1;9;31;6;11;3;74;11;1;8;3;5;8;4;2;12;0
31;MN;2020;V;1;31;555;31;I;699;435;264;264;2;1;261;12;2;0;7;46;10;140;13;0;9;8;6;17;3;39;11;3;8;2;5;6;4;0;12;0
38;MN;2020;V;1;31;555;38;I;874;521;353;353;0;4;349;12;2;2;7;127;10;101;13;0;9;23;6;18;3;58;11;2;8;6;5;10;4;2;12;0
39;MN;2020;V;1;31;555;39;I;85;52;33;33;1;0;32;12;2;1;7;5;10;16;13;0;9;1;6;1;3;5;11;2;8;1;5;0;4;0;12;0
40;MN;2020;V;1;31;555;40;I;907;501;406;406;2;3;401;12;2;6;7;123;10;187;13;0;9;11;6;9;3;49;11;2;8;5;5;6;4;1;12;2
41;MN;2020;V;1;31;555;41;I;780;494;286;286;2;1;283;12;2;5;7;68;10;139;13;0;9;4;6;12;3;39;11;4;8;2;5;8;4;1;12;1
50;MN;2020;V;1;31;555;50;I;1015;544;471;470;5;0;466;12;2;3;7;138;10;175;13;0;9;20;6;14;3;91;11;6;8;4;5;12;4;3;12;0
55;MN;2020;V;1;31;555;55;I;1036;608;428;428;0;4;424;12;2;15;7;166;10;116;13;0;9;22;6;11;3;79;11;1;8;10;5;2;4;1;12;1
57;MN;2020;V;1;31;555;57;I;1151;657;494;494;3;3;488;12;2;6;7;182;10;124;13;0;9;25;6;17;3;112;11;5;8;7;5;8;4;1;12;1
59;MN;2020;V;1;31;555;59;I;993;582;411;411;3;2;406;12;2;13;7;108;10;167;13;1;9;15;6;13;3;69;11;3;8;1;5;15;4;0;12;1
65;MN;2020;V;1;31;555;65;I;983;569;414;414;6;2;406;12;2;6;7;116;10;110;13;1;9;27;6;13;3;109;11;0;8;10;5;11;4;3;12;0
70;MN;2020;V;1;31;555;069A;I;826;451;375;375;2;4;369;12;2;1;7;147;10;88;13;1;9;23;6;15;3;68;11;2;8;9;5;14;4;0;12;1
74;MN;2020;V;1;31;555;73;I;662;528;134;134;2;1;131;12;2;0;7;16;10;45;13;0;9;32;6;7;3;19;11;2;8;7;5;0;4;1;12;2
75;MN;2020;V;1;31;555;74;I;663;470;193;193;3;1;189;12;2;5;7;60;10;53;13;1;9;20;6;8;3;27;11;2;8;3;5;8;4;0;12;2
76;MN;2020;V;1;31;555;75;I;845;596;249;249;0;9;240;12;2;7;7;50;10;96;13;0;9;21;6;9;3;45;11;4;8;4;5;3;4;0;12;1
81;MN;2020;V;1;31;555;80;I;995;689;306;306;7;3;296;12;2;0;7;80;10;103;13;1;9;27;6;9;3;58;11;2;8;6;5;7;4;2;12;1
95;MN;2020;V;1;31;555;92;I;1076;769;307;307;1;3;303;12;2;5;7;47;10;107;13;0;9;26;6;27;3;64;11;7;8;4;5;15;4;1;12;0
99;MN;2020;V;1;31;555;96;I;753;456;297;297;0;2;295;12;2;5;7;80;10;100;13;1;9;21;6;11;3;50;11;2;8;7;5;14;4;4;12;0
202;MN;2020;V;1;31;555;196;I;1042;690;352;352;1;1;350;12;2;4;7;96;10;121;13;0;9;11;6;35;3;57;11;3;8;7;5;13;4;2;12;1
205;MN;2020;V;1;31;555;198A;I;1083;725;358;358;2;4;352;12;2;7;7;87;10;120;13;0;9;12;6;36;3;65;11;7;8;9;5;9;4;0;12;0
206;MN;2020;V;1;31;555;199;I;1120;697;423;423;3;4;416;12;2;7;7;125;10;144;13;0;9;28;6;12;3;71;11;8;8;2;5;16;4;3;12;0
212;MN;2020;V;1;31;555;205;I;833;529;304;304;7;3;294;12;2;2;7;93;10;79;13;1;9;20;6;13;3;73;11;3;8;3;5;7;4;0;12;0
230;MN;2020;V;1;31;555;223;I;204;124;80;80;1;3;76;12;2;0;7;22;10;34;13;0;9;2;6;0;3;14;11;0;8;0;5;2;4;1;12;1
241;MN;2020;V;1;31;555;234;I;871;544;327;327;3;2;322;12;2;8;7;100;10;132;13;0;9;10;6;11;3;47;11;3;8;2;5;7;4;0;12;2
244;MN;2020;V;1;31;555;237;I;905;612;293;293;4;4;285;12;2;2;7;60;10;108;13;0;9;13;6;16;3;70;11;2;8;5;5;8;4;1;12;0
248;MN;2020;V;1;31;555;241;I;972;648;324;324;1;1;322;12;2;3;7;45;10;153;13;0;9;27;6;25;3;48;11;4;8;6;5;8;4;2;12;1
252;MN;2020;V;1;31;555;245;I;1012;599;413;413;1;6;406;12;2;6;7;62;10;228;13;1;9;11;6;14;3;62;11;4;8;6;5;12;4;0;12;0
262;MN;2020;V;1;31;555;255;I;963;635;328;328;3;3;322;12;2;6;7;106;10;110;13;0;9;25;6;16;3;53;11;1;8;2;5;1;4;2;12;0
102;MN;2020;V;1;31;555;99;I;1216;962;254;254;3;5;246;12;2;0;7;51;10;85;13;3;9;42;6;13;3;38;11;2;8;1;5;10;4;1;12;0
112;MN;2020;V;1;31;555;109;I;886;513;373;373;6;1;366;12;2;5;7;82;10;133;13;1;9;15;6;27;3;63;11;5;8;6;5;27;4;1;12;1
119;MN;2020;V;1;31;555;115;I;1091;636;455;455;5;6;444;12;2;10;7;149;10;132;13;0;9;29;6;5;3;101;11;1;8;5;5;5;4;6;12;1
123;MN;2020;V;1;31;555;119;I;979;581;398;398;1;8;389;12;2;3;7;155;10;110;13;1;9;14;6;15;3;71;11;3;8;6;5;8;4;3;12;0
129;MN;2020;V;1;31;555;125;I;917;541;376;376;5;5;366;12;2;6;7;99;10;124;13;0;9;30;6;16;3;71;11;1;8;6;5;10;4;1;12;2
134;MN;2020;V;1;31;555;130;I;1391;878;513;513;5;7;501;12;2;10;7;162;10;138;13;1;9;39;6;21;3;94;11;4;8;9;5;16;4;4;12;3
135;MN;2020;V;1;31;555;131;I;826;672;154;154;0;3;151;12;2;1;7;25;10;42;13;0;9;30;6;11;3;31;11;1;8;1;5;7;4;1;12;1
137;MN;2020;V;1;31;555;133;I;855;620;235;235;6;10;219;12;2;2;7;63;10;53;13;1;9;32;6;13;3;42;11;4;8;4;5;3;4;2;12;0
141;MN;2020;V;1;31;555;137;I;405;284;121;121;0;4;117;12;2;0;7;18;10;45;13;0;9;10;6;11;3;21;11;2;8;1;5;9;4;0;12;0
144;MN;2020;V;1;31;555;140;I;966;557;409;409;2;1;406;12;2;0;7;73;10;192;13;1;9;14;6;31;3;68;11;2;8;7;5;15;4;2;12;1
146;MN;2020;V;1;31;555;142;I;932;480;452;452;3;5;444;12;2;3;7;133;10;176;13;1;9;23;6;13;3;84;11;3;8;2;5;5;4;1;12;0
147;MN;2020;V;1;31;555;143;I;830;460;370;370;0;2;368;12;2;11;7;152;10;95;13;0;9;16;6;9;3;76;11;3;8;2;5;3;4;0;12;1
