Numéro;Type election;Annee;Type enregistrement;Numéro tour;Code departement;Code commune;Numéro bdv;Indicatif;Inscrits;Abstentions;Votants;Blancs;Nuls;Exprimes;Nombre de listes;Liste;Voix;NOM;ADRESSE
1;MN;2020;V;1;31;555;0001;I;901;574;327;5;1;321;12;Rassemblement Toulousain;12;CAPITOLE SALLE DES COMMISSIONS;HOTEL DE VILLE
1;MN;2020;V;1;31;555;0001;I;901;574;327;5;1;321;12;Toulouse aux travailleurs, pas aux spéculateurs;1;CAPITOLE SALLE DES COMMISSIONS;HOTEL DE VILLE
1;MN;2020;V;1;31;555;0001;I;901;574;327;5;1;321;12;Une nouvelle énergie pour Toulouse;43;CAPITOLE SALLE DES COMMISSIONS;HOTEL DE VILLE
2;MN;2020;V;1;31;555;0002;I;895;535;360;1;2;357;12;Toulouse aux travailleurs, pas aux spéculateurs;0;CAPITOLE SALLE DES COMMISSIONS;HOTEL DE VILLE
2;MN;2020;V;1;31;555;0002;I;895;535;360;1;2;357;12;Toulouse belle et forte;11;CAPITOLE SALLE DES COMMISSIONS;HOTEL DE VILLE
2;MN;2020;V;1;31;555;0002;I;895;535;360;1;2;357;12;Debout Toulouse;1;CAPITOLE SALLE DES COMMISSIONS;HOTEL DE VILLE
2;MN;2020;V;1;31;555;0002;I;895;535;360;1;2;357;12;Pour la cohésion ! L’autre choix;12;CAPITOLE SALLE DES COMMISSIONS;HOTEL DE VILLE
3;MN;2020;V;1;31;555;0003;I;719;417;302;1;1;300;12;Toulouse aux travailleurs, pas aux spéculateurs;1;ECOLE LAKANAL;17 PL DE LA DAURADE
3;MN;2020;V;1;31;555;0003;I;719;417;302;1;1;300;12;Lutte ouvrière;1;ECOLE LAKANAL;17 PL DE LA DAURADE
3;MN;2020;V;1;31;555;0003;I;719;417;302;1;1;300;12;Une nouvelle énergie pour Toulouse;54;ECOLE LAKANAL;17 PL DE LA DAURADE
3;MN;2020;V;1;31;555;0003;I;719;417;302;1;1;300;12;Debout Toulouse;4;ECOLE LAKANAL;17 PL DE LA DAURADE
4;MN;2020;V;1;31;555;0004;I;849;503;346;2;1;343;12;Archipel Citoyen;101;ECOLE LAKANAL;17 PL DE LA DAURADE
5;MN;2020;V;1;31;555;0005;I;762;462;300;3;3;294;12;Toulouse aux travailleurs, pas aux spéculateurs;0;MATERNELLE SERMET;71 RUE DU TAUR
5;MN;2020;V;1;31;555;0005;I;762;462;300;3;3;294;12;Toulouse belle et forte;12;MATERNELLE SERMET;71 RUE DU TAUR
5;MN;2020;V;1;31;555;0005;I;762;462;300;3;3;294;12;Lutte ouvrière;1;MATERNELLE SERMET;71 RUE DU TAUR
5;MN;2020;V;1;31;555;0005;I;762;462;300;3;3;294;12;Une nouvelle énergie pour Toulouse;56;MATERNELLE SERMET;71 RUE DU TAUR
6;MN;2020;V;1;31;555;0006;I;853;486;367;0;0;367;12;Lutte ouvrière;0;MATERNELLE SERMET;71 RUE DU TAUR
6;MN;2020;V;1;31;555;0006;I;853;486;367;0;0;367;12;Toulouse animaliste;6;MATERNELLE SERMET;71 RUE DU TAUR
7;MN;2020;V;1;31;555;0007;I;823;478;345;3;0;342;12;Debout Toulouse;1;MATERNELLE SERMET;71 RUE DU TAUR
9;MN;2020;V;1;31;555;0009;I;978;545;433;3;5;425;12;Archipel Citoyen;179;ECOLE DU NORD;13 BOULEVARD D ARCOLE
9;MN;2020;V;1;31;555;0009;I;978;545;433;3;5;425;12;Toulouse anticapitaliste;6;ECOLE DU NORD;13 BOULEVARD D ARCOLE
10;MN;2020;V;1;31;555;0010;I;1098;647;451;8;2;441;12;Toulouse aux travailleurs, pas aux spéculateurs;3;ECOLE DU NORD;13 BOULEVARD D ARCOLE
11;MN;2020;V;1;31;555;0011;I;1024;570;454;2;1;451;12;Toulouse belle et forte;13;ECOLE DU NORD;13 BOULEVARD D ARCOLE
11;MN;2020;V;1;31;555;0011;I;1024;570;454;2;1;451;12;Toulouse anticapitaliste;2;ECOLE DU NORD;13 BOULEVARD D ARCOLE
12;MN;2020;V;1;31;555;0012;I;947;546;401;4;4;393;12;Rassemblement Toulousain;7;ECOLE DU NORD;13 BOULEVARD D ARCOLE
12;MN;2020;V;1;31;555;0012;I;947;546;401;4;4;393;12;Toulouse anticapitaliste;9;ECOLE DU NORD;13 BOULEVARD D ARCOLE
12;MN;2020;V;1;31;555;0012;I;947;546;401;4;4;393;12;Une nouvelle énergie pour Toulouse;67;ECOLE DU NORD;13 BOULEVARD D ARCOLE
13;MN;2020;V;1;31;555;0013;I;989;587;402;2;2;398;12;Toulouse belle et forte;10;ECOLE BAYARD;60 RUE MATABIAU
14;MN;2020;V;1;31;555;0014;I;1028;665;363;5;0;358;12;Archipel Citoyen;134;ECOLE BAYARD;60 RUE MATABIAU
14;MN;2020;V;1;31;555;0014;I;1028;665;363;5;0;358;12;Une nouvelle énergie pour Toulouse;70;ECOLE BAYARD;60 RUE MATABIAU
15;MN;2020;V;1;31;555;0015;I;877;510;367;3;3;361;12;Lutte ouvrière;0;ECOLE BAYARD;60 RUE MATABIAU
16;MN;2020;V;1;31;555;0016;I;1157;668;489;5;5;479;12;Rassemblement Toulousain;8;ECOLE BAYARD;60 RUE MATABIAU
16;MN;2020;V;1;31;555;0016;I;1157;668;489;5;5;479;12;Archipel Citoyen;149;ECOLE BAYARD;60 RUE MATABIAU
16;MN;2020;V;1;31;555;0016;I;1157;668;489;5;5;479;12;Toulouse animaliste;13;ECOLE BAYARD;60 RUE MATABIAU
16;MN;2020;V;1;31;555;0016;I;1157;668;489;5;5;479;12;Toulouse anticapitaliste;7;ECOLE BAYARD;60 RUE MATABIAU
16;MN;2020;V;1;31;555;0016;I;1157;668;489;5;5;479;12;Une nouvelle énergie pour Toulouse;76;ECOLE BAYARD;60 RUE MATABIAU
17;MN;2020;V;1;31;555;0017;I;1110;643;467;2;1;464;12;Toulouse aux travailleurs, pas aux spéculateurs;0;ECOLE BAYARD;60 RUE MATABIAU
17;MN;2020;V;1;31;555;0017;I;1110;643;467;2;1;464;12;Une nouvelle énergie pour Toulouse;101;ECOLE BAYARD;60 RUE MATABIAU
18;MN;2020;V;1;31;555;0018;I;697;392;305;2;2;301;12;Toulouse aux travailleurs, pas aux spéculateurs;1;CENTRE SPORTIF LEO LAGRANGE;PL PIERRE PAUL RIQUET
18;MN;2020;V;1;31;555;0018;I;697;392;305;2;2;301;12;Toulouse belle et forte;6;CENTRE SPORTIF LEO LAGRANGE;PL PIERRE PAUL RIQUET
18;MN;2020;V;1;31;555;0018;I;697;392;305;2;2;301;12;Lutte ouvrière;2;CENTRE SPORTIF LEO LAGRANGE;PL PIERRE PAUL RIQUET
18;MN;2020;V;1;31;555;0018;I;697;392;305;2;2;301;12;Une nouvelle énergie pour Toulouse;48;CENTRE SPORTIF LEO LAGRANGE;PL PIERRE PAUL RIQUET
19;MN;2020;V;1;31;555;0019;I;798;454;344;4;2;338;12;Toulouse aux travailleurs, pas aux spéculateurs;2;CENTRE SPORTIF LEO LAGRANGE;PL PIERRE PAUL RIQUET
19;MN;2020;V;1;31;555;0019;I;798;454;344;4;2;338;12;Pour la cohésion ! L’autre choix;22;CENTRE SPORTIF LEO LAGRANGE;PL PIERRE PAUL RIQUET
20;MN;2020;V;1;31;555;0020;I;1027;621;406;2;10;394;12;Rassemblement Toulousain;20;ECOLE BONNEFOY;18 RUE DU FAUBOURG BONNEFOY
20;MN;2020;V;1;31;555;0020;I;1027;621;406;2;10;394;12;Archipel Citoyen;145;ECOLE BONNEFOY;18 RUE DU FAUBOURG BONNEFOY
20;MN;2020;V;1;31;555;0020;I;1027;621;406;2;10;394;12;Aimer Toulouse avec Jean-Luc Moudenc;100;ECOLE BONNEFOY;18 RUE DU FAUBOURG BONNEFOY
20;MN;2020;V;1;31;555;0020;I;1027;621;406;2;10;394;12;Une nouvelle énergie pour Toulouse;84;ECOLE BONNEFOY;18 RUE DU FAUBOURG BONNEFOY
21;MN;2020;V;1;31;555;0021;I;1041;630;411;3;2;406;12;Aimer Toulouse avec Jean-Luc Moudenc;124;ECOLE BONNEFOY;18 RUE DU FAUBOURG BONNEFOY
21;MN;2020;V;1;31;555;0021;I;1041;630;411;3;2;406;12;Toulouse animaliste;1;ECOLE BONNEFOY;18 RUE DU FAUBOURG BONNEFOY
21;MN;2020;V;1;31;555;0021;I;1041;630;411;3;2;406;12;Une nouvelle énergie pour Toulouse;63;ECOLE BONNEFOY;18 RUE DU FAUBOURG BONNEFOY
21;MN;2020;V;1;31;555;0021;I;1041;630;411;3;2;406;12;Debout Toulouse;6;ECOLE BONNEFOY;18 RUE DU FAUBOURG BONNEFOY
21;MN;2020;V;1;31;555;0021;I;1041;630;411;3;2;406;12;Pour la cohésion ! L’autre choix;24;ECOLE BONNEFOY;18 RUE DU FAUBOURG BONNEFOY
23;MN;2020;V;1;31;555;0023;I;1000;616;384;3;2;379;12;Rassemblement Toulousain;17;ECOLE BONNEFOY;18 RUE DU FAUBOURG BONNEFOY
23;MN;2020;V;1;31;555;0023;I;1000;616;384;3;2;379;12;Toulouse animaliste;5;ECOLE BONNEFOY;18 RUE DU FAUBOURG BONNEFOY
23;MN;2020;V;1;31;555;0023;I;1000;616;384;3;2;379;12;Une nouvelle énergie pour Toulouse;76;ECOLE BONNEFOY;18 RUE DU FAUBOURG BONNEFOY
24;MN;2020;V;1;31;555;0024;I;1120;633;487;3;2;482;12;Toulouse aux travailleurs, pas aux spéculateurs;0;ESPACE BONNEFOY PERIOLE;270 RUE DE PERIOLE
24;MN;2020;V;1;31;555;0024;I;1120;633;487;3;2;482;12;Toulouse belle et forte;17;ESPACE BONNEFOY PERIOLE;270 RUE DE PERIOLE
25;MN;2020;V;1;31;555;0025;I;895;541;354;2;9;343;12;Archipel Citoyen;118;ESPACE BONNEFOY PERIOLE;270 RUE DE PERIOLE
25;MN;2020;V;1;31;555;0025;I;895;541;354;2;9;343;12;Toulouse animaliste;5;ESPACE BONNEFOY PERIOLE;270 RUE DE PERIOLE
25;MN;2020;V;1;31;555;0025;I;895;541;354;2;9;343;12;Une nouvelle énergie pour Toulouse;75;ESPACE BONNEFOY PERIOLE;270 RUE DE PERIOLE
25;MN;2020;V;1;31;555;0025;I;895;541;354;2;9;343;12;Debout Toulouse;2;ESPACE BONNEFOY PERIOLE;270 RUE DE PERIOLE
26;MN;2020;V;1;31;555;0026;I;659;381;278;1;2;275;12;Toulouse aux travailleurs, pas aux spéculateurs;1;ESPACE BONNEFOY PERIOLE;270 RUE DE PERIOLE
26;MN;2020;V;1;31;555;0026;I;659;381;278;1;2;275;12;Toulouse animaliste;5;ESPACE BONNEFOY PERIOLE;270 RUE DE PERIOLE
27;MN;2020;V;1;31;555;0027;I;1104;621;483;2;5;476;12;Rassemblement Toulousain;16;ECOLE PIERRE ET MARIE CURIE;36 RUE DE LA JEUNESSE
27;MN;2020;V;1;31;555;0027;I;1104;621;483;2;5;476;12;En avant Toulouse;0;ECOLE PIERRE ET MARIE CURIE;36 RUE DE LA JEUNESSE
27;MN;2020;V;1;31;555;0027;I;1104;621;483;2;5;476;12;Toulouse animaliste;2;ECOLE PIERRE ET MARIE CURIE;36 RUE DE LA JEUNESSE
27;MN;2020;V;1;31;555;0027;I;1104;621;483;2;5;476;12;Une nouvelle énergie pour Toulouse;107;ECOLE PIERRE ET MARIE CURIE;36 RUE DE LA JEUNESSE
28;MN;2020;V;1;31;555;0028;I;986;625;361;4;3;354;12;Toulouse belle et forte;7;ECOLE PIERRE ET MARIE CURIE;36 RUE DE LA JEUNESSE
28;MN;2020;V;1;31;555;0028;I;986;625;361;4;3;354;12;Toulouse animaliste;6;ECOLE PIERRE ET MARIE CURIE;36 RUE DE LA JEUNESSE
29;MN;2020;V;1;31;555;0029;I;1067;651;416;4;4;408;12;Rassemblement Toulousain;17;ECOLE PIERRE ET MARIE CURIE;36 RUE DE LA JEUNESSE
29;MN;2020;V;1;31;555;0029;I;1067;651;416;4;4;408;12;En avant Toulouse;0;ECOLE PIERRE ET MARIE CURIE;36 RUE DE LA JEUNESSE
29;MN;2020;V;1;31;555;0029;I;1067;651;416;4;4;408;12;Aimer Toulouse avec Jean-Luc Moudenc;113;ECOLE PIERRE ET MARIE CURIE;36 RUE DE LA JEUNESSE
29;MN;2020;V;1;31;555;0029;I;1067;651;416;4;4;408;12;Lutte ouvrière;4;ECOLE PIERRE ET MARIE CURIE;36 RUE DE LA JEUNESSE
29;MN;2020;V;1;31;555;0029;I;1067;651;416;4;4;408;12;Pour la cohésion ! L’autre choix;34;ECOLE PIERRE ET MARIE CURIE;36 RUE DE LA JEUNESSE
30;MN;2020;V;1;31;555;0030;I;963;572;391;3;7;381;12;Toulouse belle et forte;8;ECOLE PIERRE ET MARIE CURIE;36 RUE DE LA JEUNESSE
30;MN;2020;V;1;31;555;0030;I;963;572;391;3;7;381;12;Lutte ouvrière;2;ECOLE PIERRE ET MARIE CURIE;36 RUE DE LA JEUNESSE
30;MN;2020;V;1;31;555;0030;I;963;572;391;3;7;381;12;Une nouvelle énergie pour Toulouse;74;ECOLE PIERRE ET MARIE CURIE;36 RUE DE LA JEUNESSE
30;MN;2020;V;1;31;555;0030;I;963;572;391;3;7;381;12;Debout Toulouse;1;ECOLE PIERRE ET MARIE CURIE;36 RUE DE LA JEUNESSE
30;MN;2020;V;1;31;555;0030;I;963;572;391;3;7;381;12;Pour la cohésion ! L’autre choix;31;ECOLE PIERRE ET MARIE CURIE;36 RUE DE LA JEUNESSE
31;MN;2020;V;1;31;555;0031;I;699;435;264;2;1;261;12;Rassemblement Toulousain;17;ECOLE FOURTANIER;51 RUE DU REMPART ST ETIENNE
31;MN;2020;V;1;31;555;0031;I;699;435;264;2;1;261;12;Toulouse belle et forte;6;ECOLE FOURTANIER;51 RUE DU REMPART ST ETIENNE
33;MN;2020;V;1;31;555;0033;I;863;524;339;6;0;333;12;Rassemblement Toulousain;18;ECOLE FOURTANIER;51 RUE DU REMPART ST ETIENNE
33;MN;2020;V;1;31;555;0033;I;863;524;339;6;0;333;12;Archipel Citoyen;55;ECOLE FOURTANIER;51 RUE DU REMPART ST ETIENNE
33;MN;2020;V;1;31;555;0033;I;863;524;339;6;0;333;12;Aimer Toulouse avec Jean-Luc Moudenc;164;ECOLE FOURTANIER;51 RUE DU REMPART ST ETIENNE
33;MN;2020;V;1;31;555;0033;I;863;524;339;6;0;333;12;Pour la cohésion ! L’autre choix;27;ECOLE FOURTANIER;51 RUE DU REMPART ST ETIENNE
34;MN;2020;V;1;31;555;0034;I;691;405;286;2;1;283;12;Pour la cohésion ! L’autre choix;13;ECOLE FOURTANIER;51 RUE DU REMPART ST ETIENNE
35;MN;2020;V;1;31;555;0035;I;824;435;389;2;6;381;12;En avant Toulouse;0;ECOLE MICHELET;5 BOULEVARD MICHELET
35;MN;2020;V;1;31;555;0035;I;824;435;389;2;6;381;12;Aimer Toulouse avec Jean-Luc Moudenc;105;ECOLE MICHELET;5 BOULEVARD MICHELET
36;MN;2020;V;1;31;555;0036;I;869;498;371;2;0;369;12;Toulouse belle et forte;5;ECOLE MICHELET;5 BOULEVARD MICHELET
36;MN;2020;V;1;31;555;0036;I;869;498;371;2;0;369;12;Pour la cohésion ! L’autre choix;26;ECOLE MICHELET;5 BOULEVARD MICHELET
37;MN;2020;V;1;31;555;0037;I;745;451;294;2;1;291;12;Toulouse belle et forte;12;ECOLE MICHELET;5 BOULEVARD MICHELET
37;MN;2020;V;1;31;555;0037;I;745;451;294;2;1;291;12;Lutte ouvrière;0;ECOLE MICHELET;5 BOULEVARD MICHELET
37;MN;2020;V;1;31;555;0037;I;745;451;294;2;1;291;12;Debout Toulouse;3;ECOLE MICHELET;5 BOULEVARD MICHELET
38;MN;2020;V;1;31;555;0038;I;874;521;353;0;4;349;12;Archipel Citoyen;127;ECOLE MICHELET;5 BOULEVARD MICHELET
38;MN;2020;V;1;31;555;0038;I;874;521;353;0;4;349;12;Aimer Toulouse avec Jean-Luc Moudenc;101;ECOLE MICHELET;5 BOULEVARD MICHELET
38;MN;2020;V;1;31;555;0038;I;874;521;353;0;4;349;12;Une nouvelle énergie pour Toulouse;58;ECOLE MICHELET;5 BOULEVARD MICHELET
39;MN;2020;V;1;31;555;0039;I;85;52;33;1;0;32;12;Rassemblement Toulousain;1;ECOLE MICHELET;5 BOULEVARD MICHELET
39;MN;2020;V;1;31;555;0039;I;85;52;33;1;0;32;12;Toulouse belle et forte;0;ECOLE MICHELET;5 BOULEVARD MICHELET
39;MN;2020;V;1;31;555;0039;I;85;52;33;1;0;32;12;Aimer Toulouse avec Jean-Luc Moudenc;16;ECOLE MICHELET;5 BOULEVARD MICHELET
39;MN;2020;V;1;31;555;0039;I;85;52;33;1;0;32;12;Toulouse anticapitaliste;1;ECOLE MICHELET;5 BOULEVARD MICHELET
39;MN;2020;V;1;31;555;0039;I;85;52;33;1;0;32;12;Pour la cohésion ! L’autre choix;1;ECOLE MICHELET;5 BOULEVARD MICHELET
40;MN;2020;V;1;31;555;0040;I;907;501;406;2;3;401;12;Une nouvelle énergie pour Toulouse;49;ECOLE CALVINHAC;8 BIS RUE JACQUES LABATUT
41;MN;2020;V;1;31;555;0041;I;780;494;286;2;1;283;12;Toulouse aux travailleurs, pas aux spéculateurs;1;ECOLE CALVINHAC;8 BIS RUE JACQUES LABATUT
41;MN;2020;V;1;31;555;0041;I;780;494;286;2;1;283;12;Toulouse belle et forte;8;ECOLE CALVINHAC;8 BIS RUE JACQUES LABATUT
41;MN;2020;V;1;31;555;0041;I;780;494;286;2;1;283;12;Archipel Citoyen;68;ECOLE CALVINHAC;8 BIS RUE JACQUES LABATUT
41;MN;2020;V;1;31;555;0041;I;780;494;286;2;1;283;12;Debout Toulouse;4;ECOLE CALVINHAC;8 BIS RUE JACQUES LABATUT
43;MN;2020;V;1;31;555;0043;I;939;541;398;3;1;394;12;Toulouse belle et forte;7;GROUPE SCOLAIRE BONHOURE;20 B PLACE MARIUS PINEL
43;MN;2020;V;1;31;555;0043;I;939;541;398;3;1;394;12;Aimer Toulouse avec Jean-Luc Moudenc;170;GROUPE SCOLAIRE BONHOURE;20 B PLACE MARIUS PINEL
44;MN;2020;V;1;31;555;0044;I;1111;603;508;1;3;504;12;Toulouse belle et forte;11;GROUPE SCOLAIRE BONHOURE;20 B PLACE MARIUS PINEL
44;MN;2020;V;1;31;555;0044;I;1111;603;508;1;3;504;12;Archipel Citoyen;179;GROUPE SCOLAIRE BONHOURE;20 B PLACE MARIUS PINEL
45;MN;2020;V;1;31;555;0045;I;659;360;299;1;1;297;12;Archipel Citoyen;96;GROUPE SCOLAIRE BONHOURE;20 B PLACE MARIUS PINEL
45;MN;2020;V;1;31;555;0045;I;659;360;299;1;1;297;12;Lutte ouvrière;0;GROUPE SCOLAIRE BONHOURE;20 B PLACE MARIUS PINEL
45;MN;2020;V;1;31;555;0045;I;659;360;299;1;1;297;12;Debout Toulouse;3;GROUPE SCOLAIRE BONHOURE;20 B PLACE MARIUS PINEL
46;MN;2020;V;1;31;555;0046;I;447;366;81;3;2;76;12;Archipel Citoyen;15;GROUPE SCOLAIRE BONHOURE;20 B PLACE MARIUS PINEL
46;MN;2020;V;1;31;555;0046;I;447;366;81;3;2;76;12;Toulouse animaliste;1;GROUPE SCOLAIRE BONHOURE;20 B PLACE MARIUS PINEL
47;MN;2020;V;1;31;555;0047;I;965;534;431;1;5;425;12;Lutte ouvrière;1;GROUPE SCOLAIRE BONHOURE;20 B PLACE MARIUS PINEL
47;MN;2020;V;1;31;555;0047;I;965;534;431;1;5;425;12;Une nouvelle énergie pour Toulouse;78;GROUPE SCOLAIRE BONHOURE;20 B PLACE MARIUS PINEL
48;MN;2020;V;1;31;555;0048;I;960;551;409;2;1;406;12;Toulouse animaliste;4;ECOLE JEAN JAURES;21 AVENUE FRIZAC
48;MN;2020;V;1;31;555;0048;I;960;551;409;2;1;406;12;Toulouse anticapitaliste;9;ECOLE JEAN JAURES;21 AVENUE FRIZAC
48;MN;2020;V;1;31;555;0048;I;960;551;409;2;1;406;12;Pour la cohésion ! L’autre choix;21;ECOLE JEAN JAURES;21 AVENUE FRIZAC
49;MN;2020;V;1;31;555;0049;I;1069;602;467;2;7;458;12;Toulouse belle et forte;9;ECOLE JEAN JAURES;21 AVENUE FRIZAC
49;MN;2020;V;1;31;555;0049;I;1069;602;467;2;7;458;12;Toulouse animaliste;5;ECOLE JEAN JAURES;21 AVENUE FRIZAC
50;MN;2020;V;1;31;555;0050;I;1015;544;471;5;0;466;12;Toulouse aux travailleurs, pas aux spéculateurs;0;ECOLE JEAN JAURES;21 AVENUE FRIZAC
50;MN;2020;V;1;31;555;0050;I;1015;544;471;5;0;466;12;Toulouse belle et forte;12;ECOLE JEAN JAURES;21 AVENUE FRIZAC
50;MN;2020;V;1;31;555;0050;I;1015;544;471;5;0;466;12;Toulouse animaliste;4;ECOLE JEAN JAURES;21 AVENUE FRIZAC
51;MN;2020;V;1;31;555;0051;I;975;575;400;3;3;394;12;Rassemblement Toulousain;11;ECOLE JEAN JAURES;21 AVENUE FRIZAC
51;MN;2020;V;1;31;555;0051;I;975;575;400;3;3;394;12;Lutte ouvrière;0;ECOLE JEAN JAURES;21 AVENUE FRIZAC
52;MN;2020;V;1;31;555;0052;I;1033;639;394;2;3;389;12;Toulouse animaliste;4;ECOLE JEAN JAURES;21 AVENUE FRIZAC
53;MN;2020;V;1;31;555;0053;I;985;565;420;2;3;415;12;Toulouse belle et forte;10;ECOLE JEAN JAURES;21 AVENUE FRIZAC
54;MN;2020;V;1;31;555;0054;I;1021;605;416;1;3;412;12;Lutte ouvrière;1;ECOLE PIERRE DUPONT;101 GRANDE RUE ST MICHEL
54;MN;2020;V;1;31;555;0054;I;1021;605;416;1;3;412;12;Une nouvelle énergie pour Toulouse;93;ECOLE PIERRE DUPONT;101 GRANDE RUE ST MICHEL
55;MN;2020;V;1;31;555;0055;I;1036;608;428;0;4;424;12;Rassemblement Toulousain;11;ECOLE PIERRE DUPONT;101 GRANDE RUE ST MICHEL
55;MN;2020;V;1;31;555;0055;I;1036;608;428;0;4;424;12;Pour la cohésion ! L’autre choix;22;ECOLE PIERRE DUPONT;101 GRANDE RUE ST MICHEL
56;MN;2020;V;1;31;555;0056;I;1058;633;425;2;1;422;12;Lutte ouvrière;2;ECOLE PIERRE DUPONT;101 GRANDE RUE ST MICHEL
56;MN;2020;V;1;31;555;0056;I;1058;633;425;2;1;422;12;Une nouvelle énergie pour Toulouse;101;ECOLE PIERRE DUPONT;101 GRANDE RUE ST MICHEL
57;MN;2020;V;1;31;555;0057;I;1151;657;494;3;3;488;12;Lutte ouvrière;1;ECOLE PIERRE DUPONT;101 GRANDE RUE ST MICHEL
57;MN;2020;V;1;31;555;0057;I;1151;657;494;3;3;488;12;Toulouse animaliste;7;ECOLE PIERRE DUPONT;101 GRANDE RUE ST MICHEL
58;MN;2020;V;1;31;555;0058;I;1187;647;540;5;1;534;12;Rassemblement Toulousain;13;ECOLE FABRE;RUE PIERRE BRUNIERE
58;MN;2020;V;1;31;555;0058;I;1187;647;540;5;1;534;12;En avant Toulouse;1;ECOLE FABRE;RUE PIERRE BRUNIERE
58;MN;2020;V;1;31;555;0058;I;1187;647;540;5;1;534;12;Aimer Toulouse avec Jean-Luc Moudenc;244;ECOLE FABRE;RUE PIERRE BRUNIERE
58;MN;2020;V;1;31;555;0058;I;1187;647;540;5;1;534;12;Debout Toulouse;6;ECOLE FABRE;RUE PIERRE BRUNIERE
59;MN;2020;V;1;31;555;0059;I;993;582;411;3;2;406;12;Toulouse belle et forte;15;ECOLE FABRE;RUE PIERRE BRUNIERE
59;MN;2020;V;1;31;555;0059;I;993;582;411;3;2;406;12;Aimer Toulouse avec Jean-Luc Moudenc;167;ECOLE FABRE;RUE PIERRE BRUNIERE
59;MN;2020;V;1;31;555;0059;I;993;582;411;3;2;406;12;Toulouse animaliste;1;ECOLE FABRE;RUE PIERRE BRUNIERE
60;MN;2020;V;1;31;555;0060;I;1034;603;431;7;0;424;12;Toulouse aux travailleurs, pas aux spéculateurs;0;ECOLE FABRE;RUE PIERRE BRUNIERE
60;MN;2020;V;1;31;555;0060;I;1034;603;431;7;0;424;12;Archipel Citoyen;107;ECOLE FABRE;RUE PIERRE BRUNIERE
61;MN;2020;V;1;31;555;0061;I;842;491;351;1;3;347;12;Toulouse aux travailleurs, pas aux spéculateurs;1;ECOLE FABRE;RUE PIERRE BRUNIERE
63;MN;2020;V;1;31;555;0063;I;738;407;331;1;2;328;12;Archipel Citoyen;33;ECOLE FABRE;RUE PIERRE BRUNIERE
63;MN;2020;V;1;31;555;0063;I;738;407;331;1;2;328;12;Debout Toulouse;3;ECOLE FABRE;RUE PIERRE BRUNIERE
65;MN;2020;V;1;31;555;0065;I;983;569;414;6;2;406;12;Lutte ouvrière;3;ECOLE SAUZELONG;92 AVENUE ALBERT BEDOUCE
65;MN;2020;V;1;31;555;0065;I;983;569;414;6;2;406;12;Une nouvelle énergie pour Toulouse;109;ECOLE SAUZELONG;92 AVENUE ALBERT BEDOUCE
65;MN;2020;V;1;31;555;0065;I;983;569;414;6;2;406;12;Debout Toulouse;0;ECOLE SAUZELONG;92 AVENUE ALBERT BEDOUCE
66;MN;2020;V;1;31;555;0066;I;976;648;328;6;2;320;12;Toulouse belle et forte;6;ECOLE SAUZELONG;92 AVENUE ALBERT BEDOUCE
66;MN;2020;V;1;31;555;0066;I;976;648;328;6;2;320;12;Toulouse animaliste;2;ECOLE SAUZELONG;92 AVENUE ALBERT BEDOUCE
67;MN;2020;V;1;31;555;0067;I;1081;624;457;7;1;449;12;Rassemblement Toulousain;17;ECOLE RICARDIE 3;56 AVENUE DE L URSS
68;MN;2020;V;1;31;555;0068;I;867;473;394;3;1;390;12;Aimer Toulouse avec Jean-Luc Moudenc;82;ECOLE RICARDIE 3;56 AVENUE DE L URSS
69;MN;2020;V;1;31;555;0069;I;915;545;370;1;3;366;12;Rassemblement Toulousain;13;ECOLE RICARDIE 3;56 AVENUE DE L URSS
69;MN;2020;V;1;31;555;0069;I;915;545;370;1;3;366;12;Archipel Citoyen;136;ECOLE RICARDIE 3;56 AVENUE DE L URSS
69;MN;2020;V;1;31;555;0069;I;915;545;370;1;3;366;12;Aimer Toulouse avec Jean-Luc Moudenc;89;ECOLE RICARDIE 3;56 AVENUE DE L URSS
69;MN;2020;V;1;31;555;0069;I;915;545;370;1;3;366;12;Lutte ouvrière;1;ECOLE RICARDIE 3;56 AVENUE DE L URSS
69;MN;2020;V;1;31;555;0069;I;915;545;370;1;3;366;12;Toulouse anticapitaliste;6;ECOLE RICARDIE 3;56 AVENUE DE L URSS
70;MN;2020;V;1;31;555;069A;I;826;451;375;2;4;369;12;Archipel Citoyen;147;ECOLE RICARDIE 3;56 AVENUE DE L URSS
70;MN;2020;V;1;31;555;069A;I;826;451;375;2;4;369;12;Lutte ouvrière;0;ECOLE RICARDIE 3;56 AVENUE DE L URSS
70;MN;2020;V;1;31;555;069A;I;826;451;375;2;4;369;12;Toulouse anticapitaliste;1;ECOLE RICARDIE 3;56 AVENUE DE L URSS
71;MN;2020;V;1;31;555;0070;I;753;611;142;2;2;138;12;Aimer Toulouse avec Jean-Luc Moudenc;39;ECOLE ANDRE DASTE;4 AVENUE DE LATTRE DE TASSIGNY
71;MN;2020;V;1;31;555;0070;I;753;611;142;2;2;138;12;Une nouvelle énergie pour Toulouse;18;ECOLE ANDRE DASTE;4 AVENUE DE LATTRE DE TASSIGNY
72;MN;2020;V;1;31;555;0071;I;71;59;12;0;0;12;12;Toulouse belle et forte;0;ECOLE ANDRE DASTE;4 AVENUE DE LATTRE DE TASSIGNY
